,,,,,,,,,,
,,,,,,,,,,
The  Beekeeper,2024,美国/英国,动作/惊悚,英语,中英双字,2024-01-12(美国/中国大陆),,,105分钟,大卫&middot;阿耶  David Ayer
,,,,,,,,,,
,,,,,,,,,,
La  Chimera,2023,意大利/法国/瑞士,喜剧/爱情/奇幻/冒险,意大利语/英语,中英双字,2023-05-26(戛纳电影节)/2024-03-29(美国),,,130分钟,阿莉切&middot;罗尔瓦赫尔 Alice Rohrwacher
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ミステリと言う勿れ ���霭�/Don't Call it Mystery: The  Movie,2023,日本,剧情/悬疑/犯罪,日语,中文,2023-09-15(日本),,,128分钟,松山博昭  Hiroaki Matsuyama
Dune:  Part Two/Dune  2,2024,美国/加拿大,剧情/动作/科幻/冒险,英语,中英双字,2024-02-28(法国)/2024-03-01(美国)/2024-03-08(中国大陆),,,166分钟,丹尼斯&middot;维伦纽瓦 Denis Villeneuve
30&#51068;/Love  Reset,2023,韩国,喜剧/爱情,韩语,中文,2023-10-03(韩国),,,119分钟,南大中  Dae-joong Nam
リボルバ�`&#12539;リリ�`/Revolver  Lily,2023,日本,剧情/动作,日语,中文,2023-08-11(日本),,,139分钟,行定勋 Isao  Yukisada
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
アナログ/Analog,2023,日本,剧情/爱情,日语,中文,2023-10-06(日本),,,120分钟,高�x秀太 Hideta  Takahata
おまえの罪を自白しろ,2023,日本,剧情/犯罪,日语,中文,2023-10-20(日本),,,101分钟,水田伸生 Nobuo  Mizuta
,,,,,,,,,,
The  Monk and the Gun/Once Upon a Time in  Bhutan...,2023,不丹,剧情,英语/宗卡语,中英双字,2023-09-01(特柳赖德电影节),,,107分钟,帕武&middot;多杰  Pawo Choyning Dorji 
,,,,,,,,,,
查�o此心,2022,中国台湾,剧情/悬疑/犯罪,汉语普通话/泰语/闽南语/英语,中英双字,2022-10-22(伦敦东亚电影节)/2022-11-05(金马影展)/2023-09-08(中国台湾)/2023-11-11(中国大陆),,,105分钟(中国大陆),曾英庭 Ying-ting Tseng
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
老狐狸,2023,中国台湾,剧情,普通话,中文,2023-10-27(东京国际电影节)/2023-11-24(中国台湾),,,112分钟,萧雅全  Ya-chuan Hsiao
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
The  Pod  Generation,2023,比利时/法国/英国,喜剧/爱情/科幻,英语,中英双字,2023-01-20(圣丹斯电影节)/2023-08-11(美国),,,110分钟,索菲&middot;巴尔特  Sophie Barthes
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Irish  Wish,2024,美国/爱尔兰,喜剧/爱情/奇幻,英语,中英双字,2024-03-15(美国网络),,,93分钟,贾宁&middot;达米安  Janeen Damian
